,y_test,prediction
4931,1426.1436,2680.1159235247774
4148,1201.769,2519.8403757234764
7423,1836.2764,2258.189981736403
4836,2410.8618,2299.3637902476125
944,1549.9824,3068.155180805483
154,3169.208,3595.8016381908114
7230,2036.6822,2959.4763095667636
3472,824.9262,1978.311814223235
2294,378.1744,1430.5414583921124
2588,1573.9512,1784.9982438458314
2087,2474.7786,1869.9744880084131
7318,101.8674,270.01281072514143
6126,894.8352,1611.0418399913701
4164,1491.392,2397.8197343582046
6572,1390.1904,2031.888643037466
693,1707.777,1449.7491067858261
1270,1853.5872,2476.5305759115345
5893,2404.8696,2808.606891931846
1624,5528.1374,3847.3907730416654
5223,12117.56,5357.532843491721
2972,4767.128,3602.817727421115
6814,185.7582,1834.5060298536123
1555,187.0898,1214.0970634251312
8275,772.328,1547.5399416473854
3760,1324.2762,2113.9120975393234
3161,2036.6822,1573.9512775449164
5225,6574.775,5549.445158557468
1570,5285.1204,4099.988058460221
4285,773.6596,863.7729580765442
1835,6615.3888,3823.64406325695
4266,1022.6688,1438.95144450258
2740,2797.6916,4075.1869398557055
4312,3099.9648,2682.9598981589206
2379,1720.4272,3353.5005948246917
821,3338.3212,2333.58146039592
5862,1061.951,1451.5010757116402
5108,4567.388,4037.6626178628226
7149,6474.2392,5376.935207175262
2060,1145.1760000000002,1900.1273978446338
1571,2804.3496,1719.9503523181447
3879,945.436,1265.9195611399182
1889,1255.0330000000001,2290.155982650379
528,5206.556,3703.5625912144337
7060,5842.395,3778.727573705225
5845,3379.6008,2979.6709683708013
5860,477.3786,697.6045939306728
4861,113.8518,-201.51256728909493
1824,992.0419999999999,1301.76410679346
1098,5259.82,4153.35066791856
5530,1704.4479999999999,1530.1698321484337
1921,117.8466,95.38718969777119
8517,3608.636,2839.2102785756624
4908,729.051,597.1064374626269
2006,2422.1804,2407.415877649348
98,4363.6532,3789.79795308729
7140,753.0198,737.3623462648045
1003,713.0718,508.99565178147645
3162,683.1108,617.2711230710784
4376,195.7452,-196.59373289350492
3930,3159.8868,3602.759497786055
5973,1348.245,1457.865110551848
4276,1803.6522,1255.423999741764
6789,5932.278,2567.22629413524
8116,71.9064,-969.0961539692557
2030,2270.3779999999997,1703.1162984961766
3484,303.6048,534.2380222993806
233,2603.278,2403.2083307690837
4511,5773.1518,3167.0830085037032
852,2691.8294,3250.158208001423
1364,476.04699999999997,473.30904065171774
257,193.082,1632.6478901823175
5809,2460.7968,1621.3922576015912
3810,121.8414,110.53938153572881
379,4274.436,3400.884937102906
7273,412.796,-125.76053007844916
6787,4625.9784,4066.3848390425865
2645,3006.087,2220.589132067901
1589,4950.8888,3557.653121674731
5198,529.311,2411.986684539689
3909,2184.4898,2089.190090511128
8236,510.0028,2125.2258340016815
888,2620.5888,2507.6723692148867
5175,981.3892,698.3506941794769
1580,319.584,594.3559025541877
4109,2297.01,2448.671690467438
4238,1018.674,611.204439729674
140,1402.1748,2411.437050533624
6770,3942.8676,3028.100285079677
4098,1182.4608,3169.351777376638
4394,937.4464,3618.6377511162764
543,1398.18,2149.2653868583293
3412,1168.479,917.7420851524464
3043,1569.9564,1405.2212279495218
6696,6474.2392,5389.597697108342
6565,296.9468,548.2832519872154
2563,2127.8968,3400.9948754465427
4824,5683.2688,4054.5688046210835
6335,2616.594,2990.8269591607336
6164,4866.998,2310.673732370189
6095,316.9208,596.7387585218576
4972,355.5372,1500.3440093641575
3535,2994.7684,3350.787137748905
7490,607.2096,564.8175328277991
49,780.3176,1266.0746872407663
7475,1685.8056,2399.7064232815696
380,5375.0034,5189.243970637819
7192,1267.0174,1807.7546082094834
4773,3131.9232,3097.4020750998493
4088,1629.8784,1340.0472206840693
2849,6196.6006,3883.4466633127663
6750,3094.6384,3453.3361892299777
